post_id,country,prediction,stratum,primary_annotator,is_shared,cross_annotator,source
f5a7db32-3d86-39c7-5c89-ec474344fca9,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
a690af5e-39a0-0150-fcf6-4cdc90d17c23,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
1d2902b4-eb07-1320-ec77-5e482a4684b1,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
5e7ca30a-3c7c-dc01-9b6f-196a59391417,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
9f07f816-f174-84fa-bcaf-08ce0ca5dc33,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
faaf0671-a146-286f-0b5d-5223f7b550b3,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
2c1846e4-3037-22b4-39f8-791cedd4235e,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
886e7ff5-550d-6dfa-1adb-a95e77587e81,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
a16897ae-07c8-72a2-0aeb-f1825cf66cd2,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
6f09a2ad-ab72-eec8-28e3-20bb17afcbf1,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
0f902031-9f8e-ca36-fd35-500ac5ba216e,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
d6d663c2-d6c9-594a-3dd3-dd4779b6851a,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
27c73947-970c-3a5a-e9ef-7f356c606797,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
54a6a0fb-458c-2fa7-5a0a-4008057d8145,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
b6359ab7-542a-4298-b5c5-dbe85b819288,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
ce1d24ce-4e95-41fd-b3f8-28a401d2828c,Kenya,Hate,Hate,annotator_kenya,False,,pipeline_positive
